date,1. open,2. high,3. low,4. close,5. volume
2020-04-24 09:31:00,172.05,172.7375,172.03,172.29,624873.0
2020-04-24 09:32:00,172.27,172.32,172.06,172.23,73294.0
2020-04-24 09:33:00,172.2,172.43,171.91,172.1425,120604.0
2020-04-24 09:34:00,172.32,172.32,172.32,172.32,105870.0
2020-04-24 09:35:00,172.37,172.37,171.82,171.82,126308.0
2020-04-24 09:36:00,171.7799,171.7799,171.69,171.69,94162.0
2020-04-24 09:37:00,171.69,171.69,171.53,171.53,114844.0
2020-04-24 09:38:00,171.515,171.815,171.515,171.815,109490.0
2020-04-24 09:39:00,171.7882,171.7882,171.75,171.75,88594.0
2020-04-24 09:40:00,171.7625,171.815,171.7625,171.815,62224.0
2020-04-24 09:41:00,171.7808,172.0,171.7808,172.0,94950.0
2020-04-24 09:42:00,172.09,172.09,171.96,171.96,49258.0
2020-04-24 09:43:00,171.965,172.095,171.965,172.095,51206.0
2020-04-24 09:44:00,172.15,172.15,171.95,171.95,96056.0
2020-04-24 09:45:00,171.97,171.97,171.8502,171.855,54753.0
2020-04-24 09:46:00,171.845,171.92,171.845,171.92,67232.0
2020-04-24 09:47:00,171.88,171.88,171.5871,171.5871,90313.0
2020-04-24 09:48:00,171.57,171.57,171.4674,171.53,63639.0
2020-04-24 09:49:00,171.368,171.57,171.35,171.35,94685.0
2020-04-24 09:50:00,171.32,171.32,171.26,171.26,88672.0
2020-04-24 09:51:00,171.2659,171.55,171.2659,171.55,92195.0
2020-04-24 09:52:00,171.685,171.685,171.56,171.56,96979.0
2020-04-24 09:53:00,171.54,171.64,171.54,171.55,85366.0
2020-04-24 09:54:00,171.56,171.56,171.3999,171.3999,57981.0
2020-04-24 09:55:00,171.37,171.37,171.265,171.265,50513.0
2020-04-24 09:56:00,171.2076,171.2076,171.1399,171.1399,47595.0
2020-04-24 09:57:00,171.13,171.16,171.13,171.16,127925.0
2020-04-24 09:58:00,171.1689,171.3201,171.1689,171.3201,67197.0
2020-04-24 09:59:00,170.97,171.3404,170.93,170.945,64403.0
2020-04-24 10:00:00,170.96,171.09,170.91,170.97,102353.0
2020-04-24 10:01:00,170.95,171.14,170.9175,171.03,91323.0
2020-04-24 10:02:00,171.03,171.12,170.97,171.02,89653.0
2020-04-24 10:03:00,171.01,171.01,170.79,170.96,71562.0
2020-04-24 10:04:00,170.9775,171.09,170.71,170.71,63043.0
2020-04-24 10:05:00,170.73,170.92,170.71,170.86,63644.0
2020-04-24 10:06:00,170.87,171.2,170.86,171.14,83114.0
2020-04-24 10:07:00,171.15,171.36,171.05,171.3073,96820.0
2020-04-24 10:08:00,171.29,171.29,171.05,171.24,45756.0
2020-04-24 10:09:00,171.25,171.34,171.07,171.3158,66821.0
2020-04-24 10:10:00,171.32,171.39,171.04,171.17,68544.0
2020-04-24 10:11:00,171.16,171.41,171.15,171.4,59207.0
2020-04-24 10:12:00,171.39,171.52,171.37,171.45,105570.0
2020-04-24 10:13:00,171.4575,171.68,171.42,171.53,88933.0
2020-04-24 10:14:00,171.53,171.6278,171.3801,171.53,81679.0
2020-04-24 10:15:00,171.53,171.735,171.52,171.565,83634.0
2020-04-24 10:16:00,171.57,171.67,171.4001,171.545,88097.0
2020-04-24 10:17:00,171.555,171.63,171.36,171.63,51296.0
2020-04-24 10:18:00,171.62,171.7,171.53,171.68,48629.0
2020-04-24 10:19:00,171.68,171.89,171.62,171.85,114077.0
2020-04-24 10:20:00,171.84,171.96,171.74,171.89,81037.0
2020-04-24 10:21:00,171.89,171.925,171.781,171.86,68386.0
2020-04-24 10:22:00,171.83,171.99,171.745,171.91,61306.0
2020-04-24 10:23:00,171.92,172.11,171.89,172.1,97900.0
2020-04-24 10:24:00,172.12,172.12,171.81,171.82,82928.0
2020-04-24 10:25:00,171.81,171.8977,171.75,171.8299,40805.0
2020-04-24 10:26:00,171.81,171.93,171.6301,171.6301,45799.0
2020-04-24 10:27:00,171.645,171.67,171.5203,171.555,41253.0
2020-04-24 10:28:00,171.56,171.6738,171.4639,171.63,55578.0
2020-04-24 10:29:00,171.645,171.88,171.6,171.79,50204.0
2020-04-24 10:30:00,171.7735,171.7735,171.5,171.65,42325.0
2020-04-24 10:31:00,171.65,171.78,171.54,171.78,30741.0
2020-04-24 10:32:00,171.75,171.83,171.68,171.8,36641.0
2020-04-24 10:33:00,171.8,171.99,171.7,171.85,80639.0
2020-04-24 10:34:00,171.8393,171.89,171.79,171.8101,31386.0
2020-04-24 10:35:00,171.8399,171.9643,171.82,171.9331,41315.0
2020-04-24 10:36:00,171.92,172.12,171.865,172.1,61774.0
2020-04-24 10:37:00,172.07,172.1,171.98,172.01,53064.0
2020-04-24 10:38:00,172.0199,172.06,171.92,172.05,47157.0
2020-04-24 10:39:00,172.05,172.215,172.045,172.18,68252.0
2020-04-24 10:40:00,172.1601,172.1601,172.0,172.003,60773.0
2020-04-24 10:41:00,172.01,172.18,172.01,172.045,38314.0
2020-04-24 10:42:00,172.05,172.085,171.98,172.055,36733.0
2020-04-24 10:43:00,172.04,172.12,171.9801,172.02,33617.0
2020-04-24 10:44:00,172.03,172.055,171.89,171.9599,41389.0
2020-04-24 10:45:00,171.97,172.07,171.92,172.07,47305.0
2020-04-24 10:46:00,172.055,172.1499,172.01,172.12,40436.0
2020-04-24 10:47:00,172.11,172.11,171.94,171.99,24805.0
2020-04-24 10:48:00,171.9896,172.03,171.89,171.94,30295.0
2020-04-24 10:49:00,171.92,171.99,171.86,171.89,28591.0
2020-04-24 10:50:00,171.895,171.9,171.6801,171.8469,66996.0
2020-04-24 10:51:00,171.85,171.96,171.7403,171.91,41491.0
2020-04-24 10:52:00,171.91,171.9227,171.76,171.77,29170.0
2020-04-24 10:53:00,171.78,171.85,171.78,171.81,6513.0
2020-04-24 10:55:00,171.64,171.64,171.6201,171.63,69393.0
2020-04-24 10:56:00,171.62,171.66,171.46,171.51,39496.0
2020-04-24 10:57:00,171.51,171.54,171.42,171.52,27323.0
2020-04-24 10:58:00,171.52,171.54,171.42,171.42,42058.0
2020-04-24 10:59:00,171.42,171.42,171.29,171.358,51911.0
2020-04-24 11:00:00,171.34,171.56,171.3389,171.5588,47702.0
2020-04-24 11:01:00,171.555,171.555,171.39,171.545,42043.0
2020-04-24 11:02:00,171.53,171.57,171.43,171.485,26540.0
2020-04-24 11:03:00,171.47,171.485,171.2,171.249,56488.0
2020-04-24 11:04:00,171.25,171.25,171.05,171.09,61536.0
2020-04-24 11:05:00,171.11,171.265,171.11,171.187,49760.0
2020-04-24 11:06:00,171.185,171.24,171.0,171.195,48539.0
2020-04-24 11:07:00,171.1906,171.33,171.1906,171.285,49735.0
2020-04-24 11:08:00,171.289,171.44,171.27,171.4158,27735.0
2020-04-24 11:09:00,171.41,171.41,171.3,171.36,39682.0
2020-04-24 11:10:00,171.36,171.38,171.25,171.2602,40710.0
2020-04-24 11:11:00,171.26,171.37,171.16,171.2101,41693.0
2020-04-24 11:12:00,171.22,171.23,171.02,171.0997,49565.0
2020-04-24 11:13:00,171.1,171.27,171.08,171.08,29666.0
2020-04-24 11:14:00,171.08,171.1688,171.04,171.155,48873.0
2020-04-24 11:15:00,171.19,171.3565,171.15,171.3565,31858.0
2020-04-24 11:16:00,171.35,171.56,171.2942,171.54,38843.0
2020-04-24 11:17:00,171.52,171.6296,171.48,171.53,43306.0
2020-04-24 11:18:00,171.52,171.65,171.51,171.56,39261.0
2020-04-24 11:19:00,171.56,171.7,171.53,171.68,43344.0
2020-04-24 11:20:00,171.7,171.71,171.55,171.65,55416.0
2020-04-24 11:21:00,171.6301,171.68,171.56,171.6,25992.0
2020-04-24 11:22:00,171.585,171.7,171.585,171.665,29646.0
2020-04-24 11:23:00,171.66,171.68,171.57,171.65,15770.0
2020-04-24 11:24:00,171.65,171.68,171.55,171.5675,41016.0
2020-04-24 11:25:00,171.57,171.65,171.55,171.6373,33167.0
2020-04-24 11:26:00,171.6367,171.7,171.56,171.595,34212.0
2020-04-24 11:27:00,171.58,171.69,171.57,171.65,35761.0
2020-04-24 11:28:00,171.67,171.79,171.66,171.715,50840.0
2020-04-24 11:29:00,171.72,171.82,171.69,171.77,50083.0
2020-04-24 11:30:00,171.77,171.83,171.48,171.53,46993.0
2020-04-24 11:31:00,171.53,171.71,171.53,171.6601,34566.0
2020-04-24 11:32:00,171.6611,171.67,171.501,171.5478,43938.0
2020-04-24 11:33:00,171.56,171.6105,171.27,171.275,33609.0
2020-04-24 11:34:00,171.27,171.42,171.19,171.4,36071.0
2020-04-24 11:35:00,171.415,171.51,171.41,171.4359,27917.0
2020-04-24 11:36:00,171.44,171.65,171.44,171.61,29053.0
2020-04-24 11:37:00,171.62,171.79,171.62,171.77,27922.0
2020-04-24 11:38:00,171.765,171.8272,171.755,171.7899,33399.0
2020-04-24 11:39:00,171.78,171.78,171.67,171.69,32339.0
